
1,1,1,0,2,0,3,0,4,0
1,2,5,0,6,0,7,0,8,0
1,3,9,0,10,0,11,0,12,0
1,4,13,0,14,0,15,0,16,0
1,5,17,0,18,0,19,0,20,0
1,6,21,0,22,0,23,0,24,0
1,7,25,0,26,0,27,0,28,0
1,8,29,0,30,0,31,0,32,0
1,9,33,0,34,0,35,0,36,0
1,10,37,0,38,0,39,0,40,0
1,11,41,0,42,0,43,0,44,0
1,12,45,0,46,0,47,0,48,0
1,13,49,0,50,0,51,0,52,0
2,1,47,0,39,0,41,0,26,0
2,2,45,0,51,0,23,0,8,0
2,3,22,0,20,0,35,0,3,0
2,4,29,0,4,0,48,0,52,0
2,5,30,0,9,0,19,0,1,0
2,6,7,0,42,0,28,0,50,0
2,7,12,0,40,0,14,0,36,0
2,8,2,0,34,0,5,0,24,0
2,9,17,0,37,0,25,0,46,0
2,10,38,0,15,0,10,0,43,0
2,11,21,0,31,0,6,0,13,0
2,12,32,0,49,0,44,0,11,0
2,13,33,0,18,0,27,0,16,0
3,1,28,0,23,0,32,0,2,0
3,2,41,0,31,0,18,0,51,0
3,3,43,0,1,0,34,0,13,0
3,4,19,0,27,0,7,0,46,0
3,5,25,0,36,0,22,0,29,0
3,6,20,0,4,0,38,0,14,0
3,7,6,0,52,0,15,0,47,0
3,8,26,0,40,0,21,0,44,0
3,9,35,0,42,0,48,0,10,0
3,10,37,0,50,0,24,0,16,0
3,11,8,0,17,0,30,0,12,0
3,12,3,0,33,0,49,0,39,0
3,13,45,0,5,0,11,0,9,0
4,1,23,0,49,0,43,0,48,0
4,2,22,0,4,0,28,0,12,0
4,3,16,0,45,0,7,0,1,0
4,4,9,0,8,0,38,0,2,0
4,5,25,0,14,0,3,0,42,0
4,6,37,0,21,0,47,0,29,0
4,7,13,0,5,0,52,0,18,0
4,8,27,0,31,0,36,0,34,0
4,9,6,0,39,0,24,0,51,0
4,10,15,0,33,0,30,0,41,0
4,11,46,0,32,0,26,0,35,0
4,12,10,0,44,0,19,0,17,0
4,13,20,0,50,0,11,0,40,0
5,1,17,0,41,0,2,0,11,0
5,2,38,0,52,0,35,0,18,0
5,3,9,0,43,0,29,0,46,0
5,4,8,0,24,0,48,0,36,0
5,5,50,0,1,0,21,0,26,0
5,6,32,0,16,0,19,0,22,0
5,7,30,0,37,0,6,0,40,0
5,8,39,0,44,0,23,0,25,0
5,9,28,0,45,0,3,0,34,0
5,10,13,0,20,0,51,0,33,0
5,11,14,0,5,0,7,0,49,0
5,12,42,0,12,0,15,0,31,0
5,13,4,0,47,0,27,0,10,0
6,1,50,0,31,0,29,0,25,0
6,2,39,0,10,0,52,0,30,0
6,3,14,0,48,0,1,0,34,0
6,4,44,0,51,0,36,0,5,0
6,5,32,0,21,0,33,0,7,0
6,6,35,0,6,0,41,0,19,0
6,7,20,0,45,0,37,0,24,0
6,8,13,0,47,0,8,0,2,0
6,9,18,0,22,0,28,0,38,0
6,10,17,0,15,0,4,0,49,0
6,11,40,0,16,0,9,0,46,0
6,12,26,0,3,0,43,0,23,0
6,13,42,0,11,0,12,0,27,0
7,1,20,0,49,0,12,0,6,0
7,2,5,0,9,0,27,0,18,0
7,3,28,0,39,0,40,0,13,0
7,4,24,0,38,0,30,0,42,0
7,5,16,0,48,0,25,0,51,0
7,6,21,0,8,0,33,0,11,0
7,7,15,0,29,0,26,0,23,0
7,8,10,0,46,0,3,0,44,0
7,9,47,0,35,0,43,0,7,0
7,10,37,0,14,0,2,0,19,0
7,11,41,0,45,0,36,0,50,0
7,12,17,0,32,0,4,0,1,0
7,13,52,0,22,0,34,0,31,0
